0, 2500.0 2500.0
1, 2723.246955306059 2554.3234452323254
2, 2261.753724347395 2454.721572170549
3, 2930.0355852405337 2690.5841221936835
4, 2956.386152790541 2898.8638128486714
5, 2733.795645066715 2904.7446219131134
6, 2088.1506582344364 2301.776568163651
7, 3127.838911979459 3058.35010704756
8, 3116.8948899344036 3285.1586244576656
9, 2933.1645157814314 3138.0220565723025
10, 2312.531173158663 2674.080096582365
11, 2277.863120019191 2191.92446466309
12, 3178.6053600813048 2856.0374709699863
13, 2433.553988737085 2857.2087545051118
14, 3081.7855762498193 3525.993412132999
15, 3390.33054646214 2930.586205667615
16, 3325.57514236202 3237.728336062494
17, 2920.5248696434787 3663.514888391257
18, 2939.664068077005 3889.167249137041
19, 2092.0977616306745 2661.462577578147
20, 1848.5393441742879 2323.868373144498
21, 2490.232803769062 2176.190760009953
22, 2209.424320686028 2850.418828268872
23, 2870.176173603837 3454.826703397463
24, 3457.105008758345 3396.320817052863
25, 2967.396342465404 4123.80107327336
26, 2740.9532847286346 3757.1201340991347
27, 2752.6105133864016 3963.2499584132133
28, 3667.94387880578 3388.2308728302714
29, 1751.1171896512697 2534.541108107167
30, 1695.6939987998867 2146.5221848536335
31, 3263.5232431112054 3694.341748467128
32, 2178.5942488401947 1984.9461388928235
33, 2498.2192400402964 3092.082368871779
34, 2681.2122779569086 2294.4453897330577
35, 1964.8437041743873 2123.066673552932
36, 1720.3593230104077 1947.9775819083839
37, 2512.328543393259 3338.086978120379
38, 3507.079330247385 3610.3934229838683
39, 1990.6812065487493 1830.803259583541
40, 3174.5844123768247 3890.5045876506756
41, 2377.5516162701515 2008.4887740376298
42, 2639.5868921691513 3552.356210070586
43, 3513.0099978917888 3857.2398597068936
44, 3623.49706846961 2982.0921430994326
45, 3202.0251525962426 4123.828994124517
46, 2056.1264653046906 1627.490920385166
47, 1836.2222222613582 1566.6879128725882
48, 2977.7718535210465 2454.620098069115
49, 2063.1339562739513 3005.262824086068

