0, 2500.0 2500.0 1(229.76126687354207),2(242.5106675778283)
1, 2723.246955306059 2554.3234452323254 0(229.76126687354207),3(247.64593587649412)
2, 2261.753724347395 2454.721572170549 0(242.5106675778283),6(231.36594134506961),10(225.15885845311604)
3, 2930.0355852405337 2690.5841221936835 1(247.64593587649412),4(209.9399484365588),48(240.74420447937885)
4, 2956.386152790541 2898.8638128486714 3(209.9399484365588),5(222.6681792353882),7(234.16218027424415),9(240.28297893599247),12(226.30835523162958)
5, 2733.795645066715 2904.7446219131134 4(222.6681792353882)
6, 2088.1506582344364 2301.776568163651 2(231.36594134506961),11(219.22203995020635),20(240.6275746313022),35(217.1216970994408)
7, 3127.838911979459 3058.35010704756 4(234.16218027424415),8(227.07240076304487),9(210.346713965633),12(208.5848387815714)
8, 3116.8948899344036 3285.1586244576656 7(227.07240076304487),9(235.38483382638574),14(243.3804816784316),16(214.00252337414818)
9, 2933.1645157814314 3138.0220565723025 4(240.28297893599247),7(210.346713965633),8(235.38483382638574)
10, 2312.531173158663 2674.080096582365 2(225.15885845311604),13(219.50541506558588),19(220.7942270615093),22(204.27033881506054)
11, 2277.863120019191 2191.92446466309 6(219.22203995020635),21(212.95171292603487),32(229.5524692174203),41(208.7736786091996)
12, 3178.6053600813048 2856.0374709699863 4(226.30835523162958),7(208.5848387815714),15(224.46618541111445)
13, 2433.553988737085 2857.2087545051118 10(219.50541506558588),22(224.2324936287573),33(243.61282694425077)
14, 3081.7855762498193 3525.993412132999 8(243.3804816784316),17(211.93671679873435),23(223.2559959339011),31(247.729170471887)
15, 3390.33054646214 2930.586205667615 12(224.46618541111445),44(238.78753856889256)
16, 3325.57514236202 3237.728336062494 8(214.00252337414818),24(206.03805663254457)
17, 2920.5248696434787 3663.514888391257 14(211.93671679873435),18(226.46257268436938),23(214.67591795284406),26(202.50406448479308)
18, 2939.664068077005 3889.167249137041 17(226.46257268436938),25(236.2670321301442),26(238.58419060943058),27(201.18966210043814),40(234.92415082371977)
19, 2092.0977616306745 2661.462577578147 10(220.7942270615093),22(222.41849323935597)
20, 1848.5393441742879 2323.868373144498 6(240.6275746313022),29(232.10790044407753),30(234.1225535994317),35(232.05177593350632)
21, 2490.232803769062 2176.190760009953 11(212.95171292603487),34(224.62706206513727),41(202.04208995955736)
22, 2209.424320686028 2850.418828268872 10(204.27033881506054),13(224.2324936287573),19(222.41849323935597),49(213.02003135962124)
23, 2870.176173603837 3454.826703397463 14(223.2559959339011),17(214.67591795284406)
24, 3457.105008758345 3396.320817052863 16(206.03805663254457),28(210.99401963184621),38(219.8283726418896)
25, 2967.396342465404 4123.80107327336 18(236.2670321301442),45(234.6288117921307)
26, 2740.9532847286346 3757.1201340991347 17(202.50406448479308),18(238.58419060943058),27(206.45918592238124),42(228.48065590787465)
27, 2752.6105133864016 3963.2499584132133 18(201.18966210043814),26(206.45918592238124)
28, 3667.94387880578 3388.2308728302714 24(210.99401963184621)
29, 1751.1171896512697 2534.541108107167 20(232.10790044407753)
30, 1695.6939987998867 2146.5221848536335 20(234.1225535994317),36(200.07083140002428)
31, 3263.5232431112054 3694.341748467128 14(247.729170471887),40(215.3833212877662)
32, 2178.5942488401947 1984.9461388928235 11(229.5524692174203),39(243.045960067191),41(200.34542601272508)
33, 2498.2192400402964 3092.082368871779 13(243.61282694425077),37(246.408888258241)
34, 2681.2122779569086 2294.4453897330577 21(224.62706206513727)
35, 1964.8437041743873 2123.066673552932 6(217.1216970994408),20(232.05177593350632)
36, 1720.3593230104077 1947.9775819083839 30(200.07083140002428)
37, 2512.328543393259 3338.086978120379 33(246.408888258241),42(249.21073631306103)
38, 3507.079330247385 3610.3934229838683 24(219.8283726418896),43(246.91767077623857)
39, 1990.6812065487493 1830.803259583541 32(243.045960067191),46(213.58602286654244)
40, 3174.5844123768247 3890.5045876506756 18(234.92415082371977),31(215.3833212877662),45(234.9324857914711)
41, 2377.5516162701515 2008.4887740376298 11(208.7736786091996),21(202.04208995955736),32(200.34542601272508)
42, 2639.5868921691513 3552.356210070586 26(228.48065590787465),37(249.21073631306103)
43, 3513.0099978917888 3857.2398597068936 38(246.91767077623857)
44, 3623.49706846961 2982.0921430994326 15(238.78753856889256)
45, 3202.0251525962426 4123.828994124517 25(234.6288117921307),40(234.9324857914711)
46, 2056.1264653046906 1627.490920385166 39(213.58602286654244),47(228.15538966028302)
47, 1836.2222222613582 1566.6879128725882 46(228.15538966028302)
48, 2977.7718535210465 2454.620098069115 3(240.74420447937885)
49, 2063.1339562739513 3005.262824086068 22(213.02003135962124)

