PR	NULL	1	0,1
RQ	SUCC	30.142882669626495	0,1
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	2	0,2
RQ	SUCC	21.961425524864783	0,2
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	3	0,3
RQ	FAIL	0.0	
PR	NULL	4	0,4
RQ	FAIL	0.0	
PR	NULL	5	0,2,14,32,7,5
RQ	FAIL	21.961425524864783	0,2
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	6	0,6
RQ	FAIL	0.0	
PR	NULL	7	0,12,3,7
RQ	FAIL	0.0	
PR	NULL	8	0,8
RQ	FAIL	0.0	
PR	NULL	9	0,1,9
RQ	FAIL	0.0	
PR	NULL	10	0,2,10
RQ	SUCC	57.77782642356092	0,2,10
RS	FAIL	0.0	
PR	NULL	11	0,23,14,32,7,5,11
RQ	FAIL	0.0	
PR	NULL	12	0,2,6,12
RQ	FAIL	21.961425524864783	0,2
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	13	0,13
RQ	FAIL	0.0	
PR	NULL	14	0,24,44,21,30,22,11,5,7,32,14
RQ	FAIL	25.52676777006404	0,24
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	15	0,2,23,33,3,11,22,30,21,44,15
RQ	FAIL	21.961425524864783	0,2
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	16	0,2,10,23,33,3,11,16
RQ	FAIL	21.961425524864783	0,2
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	17	0,2,4,23,33,3,11,22,30,21,44,15,17
RQ	FAIL	44.74039009873988	0,2,4
RS	SUCC	22.778964573875093	0,2
DT	false	NULL	NULL
PR	NULL	18	0,2,1,10,23,33,3,18
RQ	FAIL	21.961425524864783	0,2
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	19	0,2,4,10,23,33,3,11,22,30,21,44,15,17,19
RQ	FAIL	67.0378676719645	0,2,4,10
RS	SUCC	45.076442147099726	2,4,2
DT	false	NULL	NULL
PR	NULL	20	0,24,1,9,20
RQ	FAIL	0.0	
PR	NULL	21	0,35,3,11,22,30,21
RQ	FAIL	15.934969242150725	0,35
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	22	0,27,8,44,21,30,22
RQ	FAIL	0.0	
PR	NULL	23	0,35,5,33,23
RQ	FAIL	15.934969242150725	0,35
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	24	0,2,24
RQ	FAIL	21.961425524864783	0,2
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	25	0,35,12,3,7,25
RQ	FAIL	15.934969242150725	0,35
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	26	0,35,8,15,17,19,26
RQ	FAIL	15.934969242150725	0,35
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	27	0,2,27
RQ	FAIL	21.961425524864783	0,2
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	28	0,35,6,12,21,30,28
RQ	FAIL	49.71470692063149	0,35,6
RS	SUCC	33.77973767848077	0,35
DT	false	NULL	NULL
PR	NULL	29	0,35,27,9,20,29
RQ	FAIL	15.934969242150725	0,35
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	30	0,35,24,12,21,30
RQ	FAIL	92.47706677909085	0,35,24,12,21
RS	SUCC	76.54209753694013	24,12,24,35
DT	false	NULL	NULL
PR	NULL	31	0,35,6,8,15,17,19,31
RQ	FAIL	15.934969242150725	0,35
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	32	0,35,24,12,3,7,32
RQ	FAIL	61.20319340345563	0,35,24,12
RS	SUCC	45.2682241613049	35,24,35
DT	false	NULL	NULL
PR	NULL	33	0,35,5,33
RQ	FAIL	15.934969242150725	0,35
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	34	0,35,5,7,43,34
