DT	true	NULL	NULL
PR	NULL	36	0,36
RQ	SUCC	391.10559177604677	0,36
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	37	0,4,7,5,37
RQ	SUCC	1396.227338172261	0,4,7,5,37
RS	SUCC	1068.4678574848954	7,5,7,4
DT	true	NULL	NULL
PR	NULL	38	0,6,38
RQ	SUCC	652.5514945489875	0,6,38
RS	SUCC	467.9400852968816	0,6
DT	true	NULL	NULL
PR	NULL	39	0,4,7,5,37,19,27,39
RQ	SUCC	2536.724057581057	0,4,7,5,37,19,27,39
RS	SUCC	2208.964576893691	19,27,19,37,5,7,4
DT	true	NULL	NULL
PR	NULL	40	0,40
RQ	SUCC	257.05795879898847	0,40
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	41	0,4,7,5,37,19,27,39,31,41
RQ	SUCC	3132.861403508298	0,4,7,5,37,19,27,39,31,41
RS	SUCC	2805.101922820931	39,31,39,27,19,37,5,7,4
DT	true	NULL	NULL
PR	NULL	42	0,3,24,42
RQ	SUCC	766.9317119508419	0,3,24,42
RS	SUCC	609.7836920239617	3,24,3
DT	true	NULL	NULL
PR	NULL	43	0,4,7,5,37,19,27,43
RQ	SUCC	2602.4814360304913	0,4,7,5,37,19,27,43
RS	SUCC	2274.721955343125	19,27,19,37,5,7,4
DT	true	NULL	NULL
PR	NULL	44	0,3,44
RQ	SUCC	591.5997630069672	0,3,44
RS	SUCC	434.45174308008706	0,3
DT	true	NULL	NULL
PR	NULL	45	0,10,45
RQ	SUCC	980.4557947264606	0,10,45
RS	SUCC	492.381647806066	0,10
DT	true	NULL	NULL
PR	NULL	46	0,3,24,46
RQ	SUCC	660.2197000176989	0,3,24,46
RS	SUCC	503.07168009081875	3,24,3
DT	true	NULL	NULL
PR	NULL	47	0,3,44,5,9,19,27,47
RQ	SUCC	2579.0887030823724	0,3,44,5,9,19,27,47
RS	SUCC	2421.9406831554916	19,27,19,9,5,44,3
DT	true	NULL	NULL
PR	NULL	48	0,10,11,32,17,48
RQ	SUCC	2050.3192425352872	0,10,11,32,17,48
RS	SUCC	1562.2450956148928	32,17,32,11,10
DT	true	NULL	NULL
PR	NULL	49	0,4,44,5,9,19,27,49
RQ	SUCC	2719.7015633741335	0,4,44,5,9,19,27,49
RS	SUCC	2391.9420826867677	19,27,19,9,5,44,4
DT	true	NULL	NULL
PR	NULL	1	0,1
RQ	SUCC	327.67195850532613	0,1
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	2	0,2
RQ	SUCC	181.60983207632847	0,2
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	3	0,3
RQ	SUCC	157.14801992688018	0,3
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	4	0,4
RQ	SUCC	327.75948068736557	0,4
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	5	0,4,44,5
RQ	SUCC	1166.3953574035527	0,4,44,5
RS	SUCC	838.635876716187	4,44,4
DT	true	NULL	NULL
PR	NULL	6	0,6
RQ	SUCC	184.61140925210594	0,6
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	7	0,4,44,7
RQ	SUCC	943.5311515001399	0,4,44,7
RS	SUCC	615.7716708127742	4,44,4
DT	true	NULL	NULL
PR	NULL	8	0,4,44,5,8
RQ	SUCC	1385.5676001128454	0,4,44,5,8
RS	SUCC	1057.80811942548	44,5,44,4
DT	true	NULL	NULL
PR	NULL	9	0,4,44,5,9
RQ	SUCC	1585.4348160311715	0,4,44,5,9
RS	SUCC	1257.6753353438057	44,5,44,4
DT	true	NULL	NULL
PR	NULL	10	0,10
RQ	SUCC	488.0741469203945	0,10
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	11	0,10,11
RQ	SUCC	915.8312307696123	0,10,11
RS	SUCC	427.75708384921774	0,10
DT	true	NULL	NULL
PR	NULL	12	0,4,44,5,9,21,19,18,12
RQ	SUCC	2845.5638285175555	0,4,44,5,9,21,19,18,12
RS	SUCC	2517.80434783019	19,18,19,21,9,5,44,4
DT	true	NULL	NULL
PR	NULL	13	0,3,24,44,5,9,21,19,18,13
RQ	SUCC	2831.0141014620312	0,3,24,44,5,9,21,19,18,13
RS	SUCC	2673.8660815351523	19,18,19,21,9,5,44,24,3
DT	true	NULL	NULL
PR	NULL	14	0,10,25,8,37,13,14
RQ	SUCC	2178.7636148502143	0,10,25,8,37,13,14
RS	SUCC	1690.6894679298198	37,13,37,8,25,10
DT	true	NULL	NULL
PR	NULL	15	0,6,15
RQ	SUCC	609.7409056457457	0,6,15
RS	SUCC	425.1294963936398	0,6
DT	true	NULL	NULL
PR	NULL	16	0,10,25,16
RQ	SUCC	1104.4112042526158	0,10,25,16
RS	SUCC	616.3370573322213	10,25,10
DT	true	NULL	NULL
PR	NULL	17	0,6,15,17
RQ	SUCC	743.1648883716398	0,6,15,17
RS	SUCC	558.5534791195339	6,15,6
DT	true	NULL	NULL
PR	NULL	18	0,10,25,8,37,18
RQ	SUCC	1976.5893278481826	0,10,25,8,37,18
RS	SUCC	1488.515180927788	8,37,8,25,10
DT	true	NULL	NULL
PR	NULL	19	0,10,25,8,37,19
RQ	SUCC	2015.1710145112897	0,10,25,8,37,19
RS	SUCC	1527.0968675908955	8,37,8,25,10
DT	true	NULL	NULL
PR	NULL	20	0,20
RQ	SUCC	269.11042423822676	0,20
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	21	0,10,25,8,37,9,21
RQ	SUCC	2124.724878725865	0,10,25,8,37,9,21
RS	SUCC	1636.6507318054703	37,9,37,8,25,10
DT	true	NULL	NULL
PR	NULL	22	0,6,22
RQ	SUCC	670.8671316832967	0,6,22
RS	SUCC	486.25572243119086	0,6
DT	true	NULL	NULL
PR	NULL	23	0,10,25,23
RQ	SUCC	1421.3032767411146	0,10,25,23
RS	SUCC	933.22912982072	10,25,10
DT	true	NULL	NULL
PR	NULL	24	0,3,24
RQ	SUCC	563.808043574797	0,3,24
RS	SUCC	406.6600236479169	0,3
DT	true	NULL	NULL
PR	NULL	25	0,10,25
RQ	SUCC	932.2325090313644	0,10,25
RS	SUCC	444.1583621109699	0,10
DT	true	NULL	NULL
PR	NULL	26	0,26
RQ	SUCC	422.3469260922607	0,26
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	27	0,10,25,8,37,19,27
RQ	SUCC	2408.3325423179663	0,10,25,8,37,19,27
RS	SUCC	1920.2583953975718	37,19,37,8,25,10
DT	true	NULL	NULL
PR	NULL	28	0,10,25,8,37,9,28
RQ	SUCC	2176.2952584403565	0,10,25,8,37,9,28
RS	SUCC	1688.2211115199616	37,9,37,8,25,10
DT	true	NULL	NULL
PR	NULL	29	0,10,25,8,37,19,27,29
RQ	SUCC	2878.733300848779	0,10,25,8,37,19,27,29
RS	SUCC	2390.6591539283845	19,27,19,37,8,25,10
DT	true	NULL	NULL
PR	NULL	30	0,10,25,8,37,9,30
RQ	SUCC	2471.6775656646387	0,10,25,8,37,9,30
RS	SUCC	1983.6034187442442	37,9,37,8,25,10
DT	true	NULL	NULL
PR	NULL	31	0,10,25,8,37,9,30,31
RQ	SUCC	2970.6348665161513	0,10,25,8,37,9,30,31
RS	SUCC	2482.5607195957573	9,30,9,37,8,25,10
DT	true	NULL	NULL
PR	NULL	32	0,6,15,32
RQ	SUCC	976.7260016855355	0,6,15,32
RS	SUCC	792.1145924334296	6,15,6
DT	true	NULL	NULL
PR	NULL	33	0,6,33
RQ	SUCC	669.0835314381055	0,6,33
RS	SUCC	484.4721221859996	0,6
DT	true	NULL	NULL
PR	NULL	34	0,10,34
RQ	SUCC	788.3317251616562	0,10,34
RS	SUCC	300.2575782412617	0,10
DT	true	NULL	NULL
PR	NULL	35	0,3,35
RQ	SUCC	598.8237149246179	0,3,35
RS	SUCC	441.67569499773765	0,3
DT	true	NULL	NULL
PR	NULL	36	0,36
RQ	SUCC	391.10559177604677	0,36
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	37	0,10,25,8,37
RQ	SUCC	1588.6494324326072	0,10,25,8,37
RS	SUCC	1100.5752855122128	25,8,25,10
DT	true	NULL	NULL
PR	NULL	38	0,6,38
RQ	SUCC	652.5514945489875	0,6,38
RS	SUCC	467.9400852968816	0,6
DT	true	NULL	NULL
PR	NULL	39	0,10,25,8,37,19,27,39
RQ	SUCC	2729.146151841403	0,10,25,8,37,19,27,39
RS	SUCC	2241.072004921008	19,27,19,37,8,25,10
DT	true	NULL	NULL
PR	NULL	40	0,40
RQ	SUCC	257.05795879898847	0,40
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	41	0,10,25,8,37,19,30,31,41
RQ	SUCC	3232.569103640058	0,10,25,8,37,19,30,31,41
RS	SUCC	2744.494956719664	30,31,30,19,37,8,25,10
DT	true	NULL	NULL
PR	NULL	42	0,3,24,42
RQ	SUCC	766.9317119508419	0,3,24,42
RS	SUCC	609.7836920239617	3,24,3
DT	true	NULL	NULL
PR	NULL	43	0,10,25,8,37,19,27,43
RQ	SUCC	2794.9035302908374	0,10,25,8,37,19,27,43
RS	SUCC	2306.829383370443	19,27,19,37,8,25,10
DT	true	NULL	NULL
PR	NULL	44	0,3,24,44
RQ	SUCC	920.7165933999947	0,3,24,44
RS	SUCC	763.5685734731147	3,24,3
DT	true	NULL	NULL
PR	NULL	45	0,10,45
RQ	SUCC	980.4557947264606	0,10,45
RS	SUCC	492.381647806066	0,10
DT	true	NULL	NULL
PR	NULL	46	0,3,24,46
RQ	SUCC	660.2197000176989	0,3,24,46
RS	SUCC	503.07168009081875	3,24,3
DT	true	NULL	NULL
PR	NULL	47	0,10,25,8,37,19,27,47
RQ	SUCC	2873.2111341496243	0,10,25,8,37,19,27,47
RS	SUCC	2385.13698722923	19,27,19,37,8,25,10
DT	true	NULL	NULL
PR	NULL	48	0,6,15,17,48
RQ	SUCC	1121.9491878422205	0,6,15,17,48
RS	SUCC	937.3377785901147	15,17,15,6
DT	true	NULL	NULL
PR	NULL	49	0,10,25,8,37,19,27,49
RQ	SUCC	2873.1492117466064	0,10,25,8,37,19,27,49
RS	SUCC	2385.075064826212	19,27,19,37,8,25,10
DT	true	NULL	NULL
PR	NULL	1	0,1
RQ	SUCC	327.67195850532613	0,1
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	2	0,2
RQ	SUCC	181.60983207632847	0,2
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	3	0,3
RQ	SUCC	157.14801992688018	0,3
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	4	0,4
RQ	SUCC	327.75948068736557	0,4
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	5	0,10,25,5
RQ	SUCC	1419.1247435339671	0,10,25,5
RS	SUCC	931.0505966135726	10,25,10
DT	true	NULL	NULL
PR	NULL	6	0,6
RQ	SUCC	184.61140925210594	0,6
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	7	0,3,24,44,7
RQ	SUCC	1131.9731991983883	0,3,24,44,7
RS	SUCC	974.8251792715081	24,44,24,3
DT	true	NULL	NULL
PR	NULL	8	0,10,25,8
RQ	SUCC	1245.1251727690835	0,10,25,8
RS	SUCC	757.051025848689	10,25,10
DT	true	NULL	NULL
PR	NULL	9	0,10,25,8,37,9
RQ	SUCC	1996.0457613854078	0,10,25,8,37,9
RS	SUCC	1507.9716144650133	8,37,8,25,10
DT	true	NULL	NULL
PR	NULL	10	0,10
RQ	SUCC	488.0741469203945	0,10
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	11	0,10,11
RQ	SUCC	915.8312307696123	0,10,11
RS	SUCC	427.75708384921774	0,10
DT	true	NULL	NULL
PR	NULL	12	0,10,25,8,37,12
RQ	SUCC	1919.9619756691068	0,10,25,8,37,12
RS	SUCC	1431.8878287487123	8,37,8,25,10
DT	true	NULL	NULL
PR	NULL	13	0,10,25,8,37,13
RQ	SUCC	1828.2389394925685	0,10,25,8,37,13
