0, 2500.0 2500.0
1, 2258.019207451083 2511.189295638268
2, 2721.871570630138 2575.3080469109887
3, 2285.8371108723863 2754.2794684282444
4, 2496.8362433572656 2255.073833878038
5, 2858.5013745434017 2368.9514989634204
6, 2545.3441334055283 2748.622706520754
7, 2157.840436305066 2307.8651167424923
8, 3080.6676719371767 2415.3135466603276
9, 2628.717404638729 2069.2003197229924
10, 2000.0767834049316 2471.905652664601
11, 2130.797147804304 2062.5629972390198
12, 3297.6847253614296 2322.227514273561
13, 2207.889803916038 2985.2125098935603
14, 2035.625447306847 2829.943552834898
15, 2366.7761574855867 1999.4716517537079
16, 3376.076191769699 2537.289031581695
17, 3514.3419719706967 2744.0765252670917
18, 3196.3293222789152 2114.6410062940663
19, 3484.7930582784143 2188.810340221378
20, 2046.7886801651287 1832.175421969913
21, 1916.5555970671908 3048.9050110812423
22, 3487.1622128923987 2966.7891445009736
23, 2523.431873667579 1831.9589293849194
24, 1938.0535075538396 3282.757067903377
25, 3749.569349511081 2744.0384156718264
26, 1839.5348831599545 1941.208497616171
27, 3314.4217020159294 3129.913935279424
28, 1806.6918400580666 2752.3420003528277
29, 2404.436562168912 3099.6146940842928
30, 1656.5855286365904 2555.455711465726
31, 3391.791654188064 1985.0521301798988
32, 3987.93104357804 2724.9249554607513
33, 3687.810431166853 2289.769686195967
34, 2628.763698834155 2978.608252134018
35, 2150.4559018557416 1629.0869271232725
36, 1574.4005435189638 2843.812841641017
37, 2284.722773730668 3303.5885542875635
38, 1711.4644079911109 3146.5214914477306
39, 2501.8913604620766 1610.54219268934
40, 3684.9090842691694 3107.9345157209227
41, 3171.8584746789174 3305.403674508919
42, 3218.596350384325 2921.109758492951
43, 1718.6832014240194 2326.271390448377
44, 4209.778513342661 2656.015429838736
45, 3967.5137972973325 2494.7605029712995
46, 3590.888507218748 1863.590858997878
47, 4259.217043997476 2881.35001444415
48, 2984.656505779328 2621.110375992076
49, 2201.1429799663615 1404.2994438716921

