0, 2500.0 2500.0 1(11.447711912136029),2(21.939655017326093),3(7.536980626678339),5(19.810469985805053),7(11.894362490755155),9(15.339163028604778),37(24.090131039735823),41(21.79159080055741)
1, 2490.1629281615474 2505.8550939931297 0(11.447711912136029),3(18.718463677363523),5(21.666689104009965),7(18.844736026698516),9(13.136181831664382),27(23.95560144252873),41(12.449097523607474)
2, 2521.1904937032264 2505.6843151648027 0(21.939655017326093),3(15.532541791687796),4(15.562790658563118),5(18.09843806806285),7(12.490532815779108),10(24.929239529889713),14(20.32103409427263),18(16.398233946449817),19(24.365664834380706),37(22.082431074273266)
3, 2507.3954039559285 2498.5460133097026 0(7.536980626678339),1(18.718463677363523),2(15.532541791687796),5(19.573840090631712),7(9.468059454576165),9(21.841855616925674),18(22.719783020080307),37(18.04916056174657)
4, 2533.330285445565 2495.9464555675963 2(15.562790658563118),6(24.971249114127367),14(15.392115036242643),18(6.486165392640991),37(19.62375502289097),42(18.564955179801153)
5, 2508.031177259087 2518.109525473949 0(19.810469985805053),1(21.666689104009965),2(18.09843806806285),3(19.573840090631712),7(10.251914799903771),19(9.109243258702346),22(15.191256899784799),33(20.578028428123602)
6, 2551.2082536209778 2513.3803746978074 4(24.971249114127367),8(23.863073443718427),10(18.83431114078163),14(10.848678895366785),17(14.081307987879915),20(18.37609641141698),42(24.74051955561658),47(9.718148527226846)
7, 2508.8970138033424 2507.8942386868284 0(11.894362490755155),1(18.844736026698516),2(12.490532815779108),3(9.468059454576165),5(10.251914799903771),19(19.207798849515395)
8, 2566.7661959616034 2495.286267803405 6(23.863073443718427),11(9.767621071625202),13(22.608592074073),16(21.6094070434088),17(10.058491856079964),25(13.273972831825587),42(17.656980224378906),46(21.866796399305894),47(15.511488127884688)
9, 2486.1840283913302 2493.3360033818626 0(15.339163028604778),1(13.136181831664382),3(21.841855616925674),41(11.755297341158867)
10, 2536.605946186938 2525.2759156165534 2(24.929239529889713),6(18.83431114078163),14(16.752863437056412),20(12.837066759574741),28(20.38002205975754)
11, 2571.7892532460055 2486.9091969002507 8(9.767621071625202),12(20.68339089310772),13(18.5038345782276),16(12.301074149457127),17(19.825888933268843),25(18.28717742385342),42(21.457660492755128),46(16.012313449412638)
12, 2587.5110668263883 2473.4694336366815 11(20.68339089310772),16(8.499357433433307),21(23.689707006475096),26(19.605474568986942),46(15.426085735867092)
13, 2558.180745790502 2474.37123777877 8(22.608592074073),11(18.5038345782276),15(24.250427695618452),16(24.23522294225435),42(16.26247769432663)
14, 2541.21064017136 2509.1683016824386 2(20.32103409427263),4(15.392115036242643),6(10.848678895366785),10(16.752863437056412),17(21.11712676361642),18(21.773193787416922),20(23.25219225634027),42(22.480436265800805),47(18.792461803955707)
15, 2535.012870812479 2467.2065457111994 13(24.250427695618452),18(24.770517381911972),32(11.731980521623514),37(23.889731596645337)
16, 2581.8069078292656 2479.7703579273552 8(21.6094070434088),11(12.301074149457127),12(8.499357433433307),13(24.23522294225435),46(10.849968557011497)
17, 2561.6758108177337 2503.9615912847453 6(14.081307987879915),8(10.058491856079964),11(19.825888933268843),14(21.11712676361642),25(14.499122347622171),42(19.011568128901622),47(5.542552181493277)
18, 2528.8984138532896 2491.2105442835586 2(16.398233946449817),3(22.719783020080307),4(6.486165392640991),14(21.773193787416922),15(24.770517381911972),32(20.449558660520157),37(13.252474310869728),42(21.65570769121162)
19, 2509.55237854778 2527.090853849278 2(24.365664834380706),5(9.109243258702346),7(19.207798849515395),22(7.350225050730604),28(17.59142977792935),33(16.033927181203758)
20, 2547.8612634091514 2531.449092854988 6(18.37609641141698),10(12.837066759574741),14(23.25219225634027),31(22.816033506174772)
21, 2586.5048380518547 2449.8011062410683 12(23.689707006475096),23(16.00949740267873),26(12.839590993163476)
22, 2505.23825996824 2533.0418360520794 5(15.191256899784799),19(7.350225050730604),28(17.97959745993197),33(10.135413719009318)
23, 2570.4954175512676 2449.751484453937 21(16.00949740267873),24(23.5723171606302)
24, 2567.9600867545 2426.315908206012 23(23.5723171606302),34(20.8235784924722),38(9.741746215098123)
25, 2576.1577668884997 2504.6669261100014 8(13.273972831825587),11(18.28717742385342),17(14.499122347622171),46(19.53155261791291),47(16.791163151431267)
26, 2597.424539078567 2456.555010768003 12(19.605474568986942),21(12.839590993163476),29(21.443434539918783),30(22.40341438386285),39(19.890069981192863)
27, 2468.017234377282 2514.9895938309332 1(23.95560144252873),36(23.990982306310862),41(16.523007645798707)
28, 2522.015902978309 2539.505319621168 10(20.38002205975754),19(17.59142977792935),22(17.97959745993197)
29, 2613.2241189754104 2442.0569364147987 26(21.443434539918783),30(7.195628978041681),39(12.861873382780777)
30, 2608.195104779117 2436.9104723273776 26(22.40341438386285),29(7.195628978041681),35(23.891392824497565),39(19.570391144033206)
31, 2570.6732985159474 2531.021963786441 20(22.816033506174772),40(10.629383113850167),45(24.13288120899201),47(24.250027574002274)
32, 2524.0359854271187 2471.3474821024543 15(11.731980521623514),18(20.449558660520157),37(13.939117984791828)
33, 2495.1658264854827 2534.1699738942384 5(20.578028428123602),19(16.033927181203758),22(10.135413719009318)
34, 2551.629011279011 2413.3962566996424 24(20.8235784924722),38(12.458248900973013)
35, 2604.112338205606 2413.3705133596845 30(23.891392824497565)
36, 2448.016263952786 2528.2383075081234 27(23.990982306310862),43(15.355352499385079)
37, 2517.876656267408 2483.8519482844345 0(24.090131039735823),2(22.082431074273266),3(18.04916056174657),4(19.62375502289097),15(23.889731596645337),18(13.252474310869728),32(13.939117984791828)
38, 2558.56335318198 2423.7462744798845 24(9.741746215098123),34(12.458248900973013)
39, 2617.185626906705 2454.2935307868033 26(19.890069981192863),29(12.861873382780777),30(19.570391144033206)
40, 2576.228541071712 2540.08414153396 31(10.629383113850167),45(14.11624322401567),48(23.847088660235233)
41, 2478.3060878050314 2502.0609714447155 0(21.79159080055741),1(12.449097523607474),9(11.755297341158867),27(16.523007645798707)
42, 2550.4025652560276 2488.6529774603214 4(18.564955179801153),6(24.74051955561658),8(17.656980224378906),11(21.457660492755128),13(16.26247769432663),14(22.480436265800805),17(19.011568128901622),18(21.65570769121162),47(22.720604752102393)
43, 2447.7726303092804 2543.591727095568 36(15.355352499385079),44(16.70989112103376),49(23.076880843061424)
44, 2457.5977556463326 2557.107916402766 43(16.70989112103376),49(8.350368566975973)
45, 2588.1108143266247 2547.7051588581203 31(24.13288120899201),40(14.11624322401567)
46, 2587.6780006030335 2488.894616107062 8(21.866796399305894),11(16.012313449412638),12(15.426085735867092),16(10.849968557011497),25(19.53155261791291)
47, 2560.0029427478257 2509.2456614115754 6(9.718148527226846),8(15.511488127884688),14(18.792461803955707),17(5.542552181493277),25(16.791163151431267),31(24.250027574002274),42(22.720604752102393)
48, 2558.7161076476227 2556.270503482711 40(23.847088660235233)
49, 2455.740990126781 2565.2492355225245 43(23.076880843061424),44(8.350368566975973)

